draw,date,shift,demand_sample,total_cost,coverage_rate,shortfall
59,2025-10-29,night,45.1486632774497,752.0,1.0,0.0
60,2025-10-29,evening,46.8965906048204,752.0,1.0,0.0
60,2025-10-29,morning,18.015547806800956,376.0,1.0,0.0
60,2025-10-29,night,39.03052561552904,660.0,1.0,0.0
61,2025-10-29,evening,38.53019961046276,660.0,1.0,0.0
61,2025-10-29,morning,51.889260993293746,944.0,1.0,0.0
61,2025-10-29,night,59.597972628550096,1036.0,1.0,0.0
62,2025-10-29,evening,77.98859381462651,1320.0,1.0,0.0
62,2025-10-29,morning,59.26726035999849,1036.0,1.0,0.0
62,2025-10-29,night,52.9068025862518,944.0,1.0,0.0
63,2025-10-29,evening,52.64867467810012,944.0,1.0,0.0
63,2025-10-29,morning,46.9319391177477,752.0,1.0,0.0
63,2025-10-29,night,23.52249688594945,376.0,1.0,0.0
64,2025-10-29,evening,21.78167829184353,376.0,1.0,0.0
64,2025-10-29,morning,14.727461192929571,284.0,1.0,0.0
64,2025-10-29,night,47.95651123591945,752.0,1.0,0.0
65,2025-10-29,evening,82.91109020219359,1412.0,1.0,0.0
65,2025-10-29,morning,16.530639565320207,376.0,1.0,0.0
65,2025-10-29,night,34.51392175895728,660.0,1.0,0.0
66,2025-10-29,evening,81.73553301731211,1412.0,1.0,0.0
66,2025-10-29,morning,18.53058590934358,376.0,1.0,0.0
66,2025-10-29,night,8.377933072405732,284.0,1.0,0.0
67,2025-10-29,evening,24.34683107469024,568.0,1.0,0.0
67,2025-10-29,morning,55.59242719717061,944.0,1.0,0.0
67,2025-10-29,night,12.746455783552623,284.0,1.0,0.0
68,2025-10-29,evening,33.45304758602828,660.0,1.0,0.0
68,2025-10-29,morning,68.35477626400761,1128.0,1.0,0.0
68,2025-10-29,night,5.197386865434283,284.0,1.0,0.0
69,2025-10-29,evening,66.42503574872369,1128.0,1.0,0.0
69,2025-10-29,morning,22.975855998895344,376.0,1.0,0.0
69,2025-10-29,night,42.268162485662835,752.0,1.0,0.0
70,2025-10-29,evening,79.46957669334388,1320.0,1.0,0.0
70,2025-10-29,morning,9.320781400184892,284.0,1.0,0.0
70,2025-10-29,night,33.79585085384093,660.0,1.0,0.0
71,2025-10-29,evening,21.436794906174622,376.0,1.0,0.0
71,2025-10-29,morning,65.5814359532162,1128.0,1.0,0.0
71,2025-10-29,night,20.770719500579958,376.0,1.0,0.0
72,2025-10-29,evening,77.98592627041562,1320.0,1.0,0.0
72,2025-10-29,morning,6.224729149438045,284.0,1.0,0.0
72,2025-10-29,night,32.633514700820044,660.0,1.0,0.0
73,2025-10-29,evening,68.00807794703178,1128.0,1.0,0.0
73,2025-10-29,morning,32.076226954613915,660.0,1.0,0.0
73,2025-10-29,night,46.67568819291404,752.0,1.0,0.0
74,2025-10-29,evening,36.0611059975516,660.0,1.0,0.0
74,2025-10-29,morning,41.38000985745069,752.0,1.0,0.0
74,2025-10-29,night,7.556275370035939,284.0,1.0,0.0
75,2025-10-29,evening,78.08319069161104,1320.0,1.0,0.0
75,2025-10-29,morning,51.79654011503244,944.0,1.0,0.0
75,2025-10-29,night,57.188505168597345,1036.0,1.0,0.0
76,2025-10-29,evening,71.44001939820826,1128.0,1.0,0.0
76,2025-10-29,morning,44.917603994009056,752.0,1.0,0.0
76,2025-10-29,night,12.73710179283799,284.0,1.0,0.0
77,2025-10-29,evening,66.64719449094157,1128.0,1.0,0.0
77,2025-10-29,morning,26.487053818755818,568.0,1.0,0.0
77,2025-10-29,night,60.39914834663253,1036.0,1.0,0.0
78,2025-10-29,evening,77.14921358208454,1320.0,1.0,0.0
78,2025-10-29,morning,65.20628498638702,1128.0,1.0,0.0
78,2025-10-29,night,30.0243959128777,568.0,1.0,0.0
79,2025-10-29,evening,54.00678944190979,944.0,1.0,0.0
79,2025-10-29,morning,65.84479409148858,1128.0,1.0,0.0
79,2025-10-29,night,35.35372801309106,660.0,1.0,0.0
80,2025-10-29,evening,84.80035392564272,1412.0,1.0,0.0
80,2025-10-29,morning,62.55712504078814,1036.0,1.0,0.0
80,2025-10-29,night,25.358199409906646,568.0,1.0,0.0
81,2025-10-29,evening,75.01185755145455,1320.0,1.0,0.0
81,2025-10-29,morning,58.38113981579248,1036.0,1.0,0.0
